A,DEG3,PPS_AE,FR	9527 	: 	13820 	18461 	18152 	18942 	18491 e
A,DEG3,PPS_AE,HR	: 	: 	: 	8152 	8446 	9512 	10573 
A,DEG3,PPS_AE,HU	: 	: 	: 	5242 	6981 	8702 	13362 
A,DEG3,PPS_AE,IE	: 	: 	: 	: 	17441 	18533 	: 
A,DEG3,PPS_AE,IT	9654 	12311 	14152 	16871 	15340 	16720 	16182 
A,DEG3,PPS_AE,LT	: 	: 	: 	4796 	6870 	8441 	10347 
A,DEG3,PPS_AE,LU	13760 	: 	24704 	30680 	23728 	31044 	36395 
A,DEG3,PPS_AE,LV	: 	: 	: 	4286 	5942 	7785 	8442 
A,DEG3,PPS_AE,MT	: 	: 	: 	15136 	: 	: 	: 
A,DEG3,PPS_AE,NL	: 	: 	: 	: 	19815 	21720 	21981 
A,DEG3,PPS_AE,NO	: 	: 	: 	16965 	20496 	23154 	: 
A,DEG3,PPS_AE,PL	: 	: 	: 	4955 	7451 	9256 	8541 
A,DEG3,PPS_AE,PT	4804 	4917 	6964 	9182 	11244 	12587 	: 
A,DEG3,PPS_AE,RO	: 	: 	: 	: 	: 	5166 	6791 
A,DEG3,PPS_AE,SE	: 	11620 	13910 	16571 	16589 	18959 	: 
A,DEG3,PPS_AE,SI	: 	: 	: 	12388 	14320 	14313 	15124 
A,DEG3,PPS_AE,SK	: 	: 	: 	6095 	7691 	9345 	7887 
A,DEG3,PPS_AE,UK	10176 	12719 	17795 	20410 	16810 	17159 	: 
A,DEG3,PPS_AE,XK	: 	: 	: 	: 	: 	6968 s	: 
A,DEG3,PPS_HH,AT	: 	: 	26094 	30415 	33107 	36741 	36181 
A,DEG3,PPS_HH,BE	16477 	20260 	23508 	27960 	32939 	34447 	32138 
A,DEG3,PPS_HH,BG	: 	: 	: 	5743 	6928 	8906 	9995 
A,DEG3,PPS_HH,CY	: 	: 	: 	30108 	38308 	33034 	31732 e
A,DEG3,PPS_HH,CZ	: 	: 	: 	11791 	12822 	14992 	17099 
A,DEG3,PPS_HH,DE	15728 	21218 	: 	28320 	30421 	33109 	35128 
A,DEG3,PPS_HH,DK	: 	18531 	23988 	24278 	28717 	29779 	28923 
A,DEG3,PPS_HH,EA	: 	: 	: 	25033 u	28191 s	: 	: 
A,DEG3,PPS_HH,EA12	: 	: 	: 	25047 u	28623 s	: 	: 
A,DEG3,PPS_HH,EA13	: 	: 	: 	25033 u	28596 s	: 	: 
A,DEG3,PPS_HH,EA17	: 	: 	: 	: 	28308 s	: 	: 
A,DEG3,PPS_HH,EA18	: 	: 	: 	: 	28191 s	: 	: 
A,DEG3,PPS_HH,EE	: 	: 	: 	10751 	9514 	15001 	16321 
A,DEG3,PPS_HH,EEA28	: 	: 	: 	23807 e	26123 s	: 	: 
A,DEG3,PPS_HH,EEA30_2007	: 	: 	: 	: 	25828 s	: 	: 
A,DEG3,PPS_HH,EFTA	: 	: 	: 	26520 u	31124 u	: 	: 
